stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5138,3091,SB MERIDIAN ST AT OREGON ST,,48.770798,-122.48616,1,,,,,0
5140,3093,SB MERIDIAN ST AT W NORTH ST,,48.764626,-122.48619,1,,,,,0
5141,3201,SB MERIDIAN ST AT MONROE ST,,48.762417,-122.48619,1,,,,,0
5142,3094,SB GIRARD ST AT J ST,,48.760612,-122.48522,1,,,,,0
5143,3202,SB GIRARD ST AT H ST,,48.75959,-122.48363,1,,,,,0
5144,2238,SB GIRARD ST AT D ST,,48.757584,-122.48054,1,,,,,0
5145,3194,NB GRAND AVE AT LOTTIE ST,,48.755089,-122.47939,1,,,,,0
5146,3203,SB GRAND AVE AT FLORA ST,,48.752697,-122.47968,1,,,,,0
5148,7114,NOOKSACK VALLEY HIGH SCHOOL,,48.964268,-122.30846,1,,,,,0
5149,7117,SB NOOKSACK RD AT MADISON ST,,48.927162,-122.32198,1,,,,,0
5150,7118,SB NOOKSACK RD AT COLUMBIA ST,,48.921612,-122.32201,1,,,,,0
5151,7120,WB MAIN ST AT KIRSCH RD,,48.920231,-122.34151,1,,,,,0
5152,7110,EB MAIN ST AT KIRSCH DR,,48.920071,-122.34155,1,,,,,0
5153,7121,SB EVERSON RD AT KALE RD,,48.915993,-122.35239,1,,,,,0
5154,7109,NB EVERSON RD AT KALE RD,,48.915852,-122.3522,1,,,,,0
5155,7122,SB EVERSON RD AT ROEDER ST,,48.911747,-122.35513,1,,,,,0
5156,7108,NB EVERSON RD AT STRANDELL ST,,48.91135,-122.35503,1,,,,,0
5157,7123,SB MISSION RD AT CHESTNUT ST,,48.906185,-122.3559,1,,,,,0
5158,7107,NB MISSION RD AT CHESTNUT ST,,48.906208,-122.35576,1,,,,,0
5159,7124,SB MISSION RD AT SUCHANON DR,,48.898445,-122.35312,1,,,,,0
5161,7149,NB GUIDE MERIDIAN RD AT HORTON RD,,48.808338,-122.4858,1,,,,,0
5162,7150,NB GUIDE MERIDIAN RD AT KLINE RD,,48.815556,-122.48576,1,,,,,0
5163,7151,NB GUIDE MERIDIAN RD AT SMITH RD,,48.833839,-122.48577,1,,,,,0
5165,7153,NB GUIDE MERIDIAN RD AT LAUREL RD,,48.855583,-122.48575,1,,,,,0
5168,7104,EB EVERSON-GOSHEN RD AT POLE RD,,48.891415,-122.37547,1,,,,,0
5169,7132,WB POLE RD AT EVERSON-GOSHEN RD,,48.891201,-122.3749,1,,,,,0
5170,7105,NB MISSION RD AT SILVES CT,,48.892445,-122.35297,1,,,,,0
5171,7125,SB MISSION RD AT SILVES CT,,48.892403,-122.35313,1,,,,,0
5172,7106,NB MISSION RD AT SUCHANON DR,,48.897453,-122.35294,1,,,,,0
5175,7138,SB GUIDE MERIDIAN RD AT TEN MILE RD,,48.868973,-122.48609,1,,,,,0
5176,7139,SB GUIDE MERIDIAN RD AT LAUREL RD,,48.85714,-122.48614,1,,,,,0
5177,7140,SB GUIDE MERIDIAN RD AT AXTON RD,,48.847378,-122.48618,1,,,,,0
5178,7141,SB GUIDE MERIDIAN RD AT SMITH RD,,48.832916,-122.48618,1,,,,,0
5179,7142,SB GUIDE MERIDIAN RD AT KLINE RD,,48.814613,-122.48616,1,,,,,0
5180,7143,SB GUIDE MERIDIAN RD AT HORTON RD,,48.807461,-122.48622,1,,,,,0
5182,3095,SB GRAND AVE AT LOTTIE ST,,48.755116,-122.47964,1,,,,,0
5183,2204,WB W CHAMPION ST AT GRAND AVE,,48.751953,-122.47915,1,,,,,0
5184,3193,NB GRAND AVE AT CENTRAL AVE,,48.753757,-122.47944,1,,,,,0
5185,3044,SB CORDATA PKWY AT WCC,,48.79454,-122.49181,1,,,,,0
5186,7112,NB NOOKSACK RD AT COLUMBIA ST,,48.921818,-122.32177,1,,,,,0
5187,7113,NB NOOKSACK RD AT MADISON ST,,48.928192,-122.32173,1,,,,,0
5188,7119,WB COLUMBIA ST AT NOOKSACK VALLEY MIDDLE SCHOOL,,48.920269,-122.32879,1,,,,,0
5189,7111,EB COLUMBIA ST AT NOOKSACK VALLEY MIDDLE SCHOOL,,48.920143,-122.32845,1,,,,,0
5190,2223,NB MERIDIAN ST AT BAKER ST,,48.780983,-122.48598,1,,,,,0
5191,3141,SB MERIDIAN ST AT W ORCHARD DR,,48.778885,-122.48625,1,,,,,0
5192,2659,EB W KELLOGG RD AT WCC,,48.795086,-122.49387,1,,,,,0
5194,5558,EB W BAKERVIEW RD AT CORDATA PKWY,,48.789597,-122.49323,1,,,,,0
5197,5534,SB PEACE PORTAL DR AT 4TH ST,,48.986248,-122.74792,1,,,,,0
5198,5523,NB PEACE PORTAL DR AT 4TH ST,,48.986637,-122.74827,1,,,,,0
5200,5513,WB GRANDVIEW RD AT ENTERPRISE RD,,48.891769,-122.58436,1,,,,,0
5203,5510,NB PORTAL WAY AT 6300 BLOCK,,48.872086,-122.58426,1,,,,,0
5205,5508,NB PORTAL WAY AT 6000 BLOCK,,48.859921,-122.58458,1,,,,,0
5208,5543,EB GRANDVIEW RD AT ENTERPRISE RD,,48.891644,-122.58437,1,,,,,0
5209,5544,SB ENTERPRISE RD AT MATZ RD,,48.886948,-122.58393,1,,,,,0
5211,5546,SB PORTAL WAY AT 6300 BLOCK,,48.870571,-122.58457,1,,,,,0
5212,5547,SB PORTAL WAY AT 6200 BLOCK,,48.868206,-122.58459,1,,,,,0
5214,5554,WB W AXTON RD AT BARRETT RD,,48.848221,-122.57282,1,,,,,0
5223,5517,WB BB LYNDEN RD AT JAMES TREE LN,,48.935848,-122.72144,1,,,,,0
5225,5519,NB HARBORVIEW AT DRAYTON HARBOR,HARBORVIEW RD AT DRAYTON HARBOR,48.956635,-122.74798,1,,,,,0
5226,5520,EB DRAYTON HARBOR AT BLAINE RD,,48.962147,-122.73039,1,,,,,0
5227,5521,NB PEACE PORTAL DR AT BELL RD,,48.976475,-122.72932,1,,,,,0
5228,5522,NB PEACE PORTAL DR AT MITCHELL AVE,,48.984184,-122.74094,1,,,,,0
5229,5524,NB PEACE PORTAL DR AT CLARK ST,,48.991993,-122.75142,1,,,,,0
5230,5533,SBPEACE PORTAL DR AT CLARK ST,,48.992111,-122.75164,1,,,,,0
5231,5535,SB PEACE PORTAL AT GARFIELD AVE,,48.98489,-122.74334,1,,,,,0
5232,5536,SB PEACE PORTAL DR AT BELL RD,,48.976093,-122.72903,1,,,,,0
5233,5537,WB DRAYTON HARBOR RD AT BLAINE RD,,48.962269,-122.73213,1,,,,,0
5234,5538,WB DRAYTON HARBOR RD AT HARBORVIEW,,48.95739,-122.74789,1,,,,,0
5236,5540,EB BB LYNDEN RD AT ANCHOR PKWY,,48.935673,-122.72246,1,,,,,0
5246,2365,WB CABLE ST AT LK WHATCOM BLVD,,48.746147,-122.39553,1,,,,,0
5247,3118,WB LAKEWAY DR AT ORIENTAL AVE,,48.746239,-122.41469,1,,,,,0
5248,3119,WB LAKEWAY DR AT LOWELL AVE,,48.747326,-122.41798,1,,,,,0
5254,3117,WB LAKEWAY DR AT EUCLID AVE,,48.744675,-122.40958,1,,,,,0
5258,2536,SB LAKE LOUISE RD AT GATE 5,,48.709911,-122.34097,1,,,,,0
5259,3107,NB LK WHATCOM BLVD AT GATE 2,,48.710194,-122.33024,1,,,,,0
5261,3109,NB LK WHATCOM BLVD AT LAKEWOOD S,,48.727413,-122.34029,1,,,,,0
